Epoch,Training Loss,Validation Loss
147,5.010145287087653e-06,7.193883448053384e-06
148,4.976997388439486e-06,7.2893208198365755e-06
149,5.012151177652413e-06,7.336547241720837e-06
150,4.962821549270302e-06,7.080965588102117e-06
151,4.9165232667292e-06,7.164036560425302e-06
152,4.9079590098699555e-06,7.242277206387371e-06
153,4.875194917985937e-06,7.026252660580212e-06
154,4.812942279386334e-06,7.05466072759009e-06
155,4.860093213210348e-06,7.108502813935047e-06
156,4.909691142529482e-06,7.048255611152854e-06
157,4.9244126785197295e-06,7.0622277235088404e-06
158,4.773048658535117e-06,7.240971171995625e-06
159,4.749742402054835e-06,6.756382390449289e-06
160,4.690275090979412e-06,7.002758593444014e-06
161,4.859372893406544e-06,6.888763891765848e-06
162,4.716948751593009e-06,6.900667358422652e-06
163,4.7967141654226e-06,6.965872216824209e-06
164,4.7587168410245795e-06,7.166710474848514e-06
165,4.981944130122429e-06,7.248848760355031e-06
166,4.886530859948834e-06,6.653681339230388e-06
167,4.5875813157181256e-06,6.549320914928103e-06
168,4.561499736155383e-06,7.047241524560377e-06
169,4.815519332623808e-06,6.727760137437144e-06
170,4.6611821744591e-06,6.744271559000481e-06
171,4.505774086283054e-06,6.641274467256153e-06
172,4.4334810809232295e-06,6.569155630131718e-06
173,4.395479663799051e-06,6.4208879848592915e-06
174,4.403859293233836e-06,6.390831458702451e-06
175,4.318706942285644e-06,6.379383648891235e-06
176,4.445842023415025e-06,6.495139132312033e-06
177,4.3461050154292025e-06,6.624172783631366e-06
178,4.320369953347836e-06,6.644071163464105e-06
179,4.465357505978318e-06,6.374427357513923e-06
180,4.4789771891373675e-06,6.955296157684643e-06
181,5.2054938350920565e-06,6.306604973360663e-06
182,5.035502454120433e-06,7.505060693802079e-06
183,5.0178891797258984e-06,7.071937488944968e-06
184,4.935777724313084e-06,6.369827133312356e-06
185,4.606969923770521e-06,6.3007441895024385e-06
186,4.408851509651868e-06,6.695617230434436e-06
187,4.472915861697402e-06,6.394876891135937e-06
188,4.593216544890311e-06,6.8191766331437975e-06
189,4.480165443965234e-06,6.323073648673017e-06
190,4.411547251947923e-06,6.149316504888702e-06
191,4.432468813320156e-06,6.98259600540041e-06
192,4.729375177703332e-06,6.486537131422665e-06
193,5.077733021607855e-06,7.990196536411531e-06
194,5.8418190747033805e-06,6.395595846697688e-06
195,5.945855264144484e-06,6.822258910688106e-06
196,5.961787792330142e-06,1.0859202120627742e-05
197,7.091012321325252e-06,7.648886821698397e-06
198,5.939839411439607e-06,9.02243937161984e-06
199,5.588881322182715e-06,6.974588814046001e-06
200,4.87934676129953e-06,6.432570899050916e-06
201,4.821894435735885e-06,6.263561772357207e-06
202,4.617216291080695e-06,6.884757567604538e-06
203,5.213558324612677e-06,7.153590559028089e-06
204,4.832380909647327e-06,6.542200480907923e-06
205,4.519245976553066e-06,6.577668500540312e-06
206,4.418457592691993e-06,6.17827890891931e-06
207,4.1502726162434556e-06,5.97449343331391e-06
208,4.105862444703234e-06,5.903449164179619e-06
209,4.031880962429568e-06,6.082862000766909e-06
210,4.363110747362953e-06,7.143559741962235e-06
211,4.613533747033216e-06,6.576726264029276e-06
